dataset,params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,brier_score
Bank,"{'ccp_alpha': np.float64(0.0025764174425233167), 'criterion': 'log_loss', 'max_depth': 50, 'max_features': 0.5, 'min_impurity_decrease': np.float64(0.0030231277487963), 'min_samples_leaf': 7, 'min_samples_split': 2, 'n_estimators': 484}",-0.196665925330806,0.0028302621507451595,124,4.577227973937989,0.1714494228363037,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(4.8284249748183215e-05), 'criterion': 'log_loss', 'max_depth': 40, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(0.002012115544906383), 'min_samples_leaf': 7, 'min_samples_split': 7, 'n_estimators': 555}",-0.20092446063141267,0.0019127561074814003,141,3.0480595588684083,0.16195392608642578,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.00040019186681149307), 'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(3.9749057611718666e-07), 'min_samples_leaf': 8, 'min_samples_split': 16, 'n_estimators': 926}",-0.18801367559229773,0.0034393635108939287,59,7.892762470245361,0.4491683006286621,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(9.324140221663475e-05), 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(2.1108687745110232e-07), 'min_samples_leaf': 4, 'min_samples_split': 13, 'n_estimators': 609}",-0.18689727088264405,0.0035258733987000974,21,5.666853046417236,0.31357569694519044,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0012271928563275037), 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(2.6558434508499886e-06), 'min_samples_leaf': 1, 'min_samples_split': 18, 'n_estimators': 101}",-0.19071191493461376,0.0028992466507861375,92,1.0919209480285645,0.0446622371673584,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0003221343740912344), 'criterion': 'log_loss', 'max_depth': 20, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(5.31320093175046e-06), 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 152}",-0.18710183384137416,0.004015389732081517,32,1.8570381641387939,0.12473201751708984,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0002940074130903306), 'criterion': 'log_loss', 'max_depth': 20, 'max_features': 0.5, 'min_impurity_decrease': np.float64(0.0006428328717564126), 'min_samples_leaf': 1, 'min_samples_split': 7, 'n_estimators': 379}",-0.1861441453813523,0.0034034952837696596,3,6.722526264190674,0.17697677612304688,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0002575739293830274), 'criterion': 'log_loss', 'max_depth': 10, 'max_features': 'log2', 'min_impurity_decrease': np.float64(4.773901130843782e-05), 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 223}",-0.1925146766517909,0.002462510353195406,104,1.8631696224212646,0.10502762794494629,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0003346542387875271), 'criterion': 'gini', 'max_depth': None, 'max_features': 0.5, 'min_impurity_decrease': np.float64(1.262423986895372e-06), 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 919}",-0.18615080742511067,0.003956007421611496,4,19.344794082641602,0.522200059890747,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.006630859005940933), 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(0.0002390289948402076), 'min_samples_leaf': 9, 'min_samples_split': 19, 'n_estimators': 250}",-0.20708980531768684,0.0014016029873901799,166,2.312832403182983,0.09757180213928222,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0004210599373265653), 'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.5, 'min_impurity_decrease': np.float64(0.0001994895865188259), 'min_samples_leaf': 9, 'min_samples_split': 18, 'n_estimators': 101}",-0.18756331312268204,0.0038523855336449605,50,1.8831723213195801,0.07388663291931152,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.009744534538859262), 'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(0.002589296092555011), 'min_samples_leaf': 7, 'min_samples_split': 10, 'n_estimators': 332}",-0.21256986256413316,0.001061733272259634,184,2.097095489501953,0.10493383407592774,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.00011159088550343401), 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'min_impurity_decrease': np.float64(0.000793190911385707), 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 724}",-0.1968198303512549,0.0023086778418973564,125,3.972411012649536,0.2562985897064209,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(3.054120318443388e-05), 'criterion': 'log_loss', 'max_depth': 30, 'max_features': 'log2', 'min_impurity_decrease': np.float64(1.1116939907244591e-07), 'min_samples_leaf': 9, 'min_samples_split': 4, 'n_estimators': 252}",-0.18926557811933548,0.0032593050778614964,77,1.8080722332000732,0.11595654487609863,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(1.0355826161899173e-05), 'criterion': 'log_loss', 'max_depth': None, 'max_features': 'log2', 'min_impurity_decrease': np.float64(0.0002880553783568844), 'min_samples_leaf': 9, 'min_samples_split': 5, 'n_estimators': 260}",-0.19251195108082833,0.0025584952856372387,103,1.6633710861206055,0.10648894309997559,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(1.1329900368822794e-05), 'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.5, 'min_impurity_decrease': np.float64(0.00040243859235513497), 'min_samples_leaf': 1, 'min_samples_split': 17, 'n_estimators': 559}",-0.18631276035740188,0.003974089254907411,6,11.265253162384033,0.30356392860412595,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0003360796610420782), 'criterion': 'log_loss', 'max_depth': 20, 'max_features': 'log2', 'min_impurity_decrease': np.float64(1.6593890383815784e-06), 'min_samples_leaf': 6, 'min_samples_split': 7, 'n_estimators': 464}",-0.18861153573140776,0.003272951273407762,66,4.506611967086792,0.26191282272338867,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0002885535747082005), 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(3.259758793317357e-05), 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 928}",-0.18574869133211097,0.003798909246957929,1,10.865667533874511,0.5839199542999267,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0003144706654325595), 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(0.009391880411447973), 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 198}",-0.21737030980497543,0.001306751646179022,193,0.97358717918396,0.0724090576171875,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0017504766488065078), 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(1.3833139021965045e-05), 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 799}",-0.19827254296695393,0.0022013081088673287,132,7.443926286697388,0.258119535446167,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.003622666594728667), 'criterion': 'entropy', 'max_depth': None, 'max_features': 0.5, 'min_impurity_decrease': np.float64(2.1997548527800003e-06), 'min_samples_leaf': 3, 'min_samples_split': 19, 'n_estimators': 892}",-0.19687815306638712,0.0027939233899838363,126,19.495068979263305,0.3171551704406738,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0001527827773064011), 'criterion': 'log_loss', 'max_depth': 50, 'max_features': 0.5, 'min_impurity_decrease': np.float64(7.084445284509007e-05), 'min_samples_leaf': 8, 'min_samples_split': 19, 'n_estimators': 387}",-0.18701314179986997,0.0039871959617470065,27,7.480949783325196,0.2568760871887207,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.001031408130221141), 'criterion': 'entropy', 'max_depth': None, 'max_features': 0.5, 'min_impurity_decrease': np.float64(3.905244791300363e-05), 'min_samples_leaf': 2, 'min_samples_split': 18, 'n_estimators': 203}",-0.1864065461778186,0.0032489706740248935,7,4.477555227279663,0.10526862144470214,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0012332389221028), 'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.5, 'min_impurity_decrease': np.float64(2.9373738302577214e-06), 'min_samples_leaf': 7, 'min_samples_split': 4, 'n_estimators': 917}",-0.19033841074358854,0.0027927572131921327,90,14.395205307006837,0.3301858425140381,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.003992242886631504), 'criterion': 'gini', 'max_depth': 50, 'max_features': 0.5, 'min_impurity_decrease': np.float64(3.217966164978632e-05), 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 875}",-0.2018665309917807,0.0024787944426083734,144,18.560433864593506,0.2878274440765381,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0012761467881730222), 'criterion': 'log_loss', 'max_depth': None, 'max_features': 0.5, 'min_impurity_decrease': np.float64(1.3743073189728496e-07), 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 899}",-0.18723562459299986,0.0030273110906353707,38,24.429626941680908,0.3530293941497803,0.1848390059388755
Bank,"{'ccp_alpha': np.float64(0.0005430507564500919), 'criterion': 'log_loss', 'max_depth': None, 'max_features': 'sqrt', 'min_impurity_decrease': np.float64(5.959476116841317e-07), 'min_samples_leaf': 6, 'min_samples_split': 18, 'n_estimators': 791}",-0.1875615091393557,0.0033441541386703723,49,8.174706172943115,0.362837553024292,0.1848390059388755
