trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
101,1,-0.11433021401656988,0.11433021401656988,17.888357,"{'n_estimators': 1427, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1427,log_loss,10.0,6,1,sqrt,,Titanic,0.1509247744268588
102,1,-0.114325217445111,0.114325217445111,17.283004,"{'n_estimators': 1377, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1377,log_loss,10.0,6,1,sqrt,,Titanic,0.1509247744268588
103,1,-0.11407409592613124,0.11407409592613124,16.885672,"{'n_estimators': 1350, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1350,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
104,2,-0.11323374797831239,0.11323374797831239,0.301618,"{'n_estimators': 103, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",103,log_loss,10.0,7,2,sqrt,,Titanic,0.1509247744268588
105,1,-0.11438336385588073,0.11438336385588073,16.697212,"{'n_estimators': 1340, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1340,log_loss,10.0,8,1,sqrt,,Titanic,0.1509247744268588
106,1,-0.11416761155569724,0.11416761155569724,16.168341,"{'n_estimators': 1291, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1291,log_loss,10.0,7,1,sqrt,,Titanic,0.1509247744268588
107,2,-0.11198313946598583,0.11198313946598583,11.179457,"{'n_estimators': 1123, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': None}",1123,log_loss,10.0,7,2,sqrt,,Titanic,0.1509247744268588
108,2,-0.11254707184301284,0.11254707184301284,3.196067,"{'n_estimators': 1284, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1284,log_loss,10.0,10,1,sqrt,,Titanic,0.1509247744268588
109,1,-0.1144521156287327,0.1144521156287327,15.39614,"{'n_estimators': 1231, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1231,log_loss,10.0,8,1,sqrt,,Titanic,0.1509247744268588
110,2,-0.11432076409902349,0.11432076409902349,2.792905,"{'n_estimators': 1176, 'criterion': 'log_loss', 'max_depth': 10, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.5}",1176,log_loss,10.0,7,2,sqrt,0.5,Titanic,0.1509247744268588
