trial_number,state,value,brier_score,duration,params,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,dataset,test_brier_score
55,1,-0.18531895225682526,0.18531895225682526,21.414696,"{'n_estimators': 1366, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1366,entropy,,16,1,sqrt,0.9,Bank,0.18388620638580755
56,2,-0.18580541478841972,0.18580541478841972,2.198188,"{'n_estimators': 790, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.5}",790,entropy,,16,1,sqrt,0.5,Bank,0.18388620638580755
57,2,-0.1859539871870621,0.1859539871870621,4.22762,"{'n_estimators': 1440, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1440,gini,20.0,17,1,sqrt,0.9,Bank,0.18388620638580755
58,2,-0.1854497902810007,0.1854497902810007,4.05257,"{'n_estimators': 1346, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 14, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.7}",1346,entropy,,14,1,sqrt,0.7,Bank,0.18388620638580755
59,2,-0.19429269033088584,0.19429269033088584,2.910361,"{'n_estimators': 1197, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 17, 'min_samples_leaf': 7, 'max_features': 0.1, 'max_samples': 0.9}",1197,entropy,10.0,17,7,0.1,0.9,Bank,0.18388620638580755
60,2,-0.18567383453672748,0.18567383453672748,0.489279,"{'n_estimators': 143, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",143,entropy,,15,1,sqrt,0.9,Bank,0.18388620638580755
61,1,-0.1854300596368501,0.1854300596368501,19.690266,"{'n_estimators': 1293, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1293,entropy,,15,2,sqrt,0.9,Bank,0.18388620638580755
62,1,-0.18541683318879046,0.18541683318879046,21.462757,"{'n_estimators': 1382, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_samples': 0.9}",1382,entropy,,12,2,sqrt,0.9,Bank,0.18388620638580755
63,1,-0.18533729535607327,0.18533729535607327,23.301001,"{'n_estimators': 1499, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 18, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1499,entropy,,18,1,sqrt,0.9,Bank,0.18388620638580755
64,1,-0.18534391331495875,0.18534391331495875,22.334214,"{'n_estimators': 1452, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 18, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1452,entropy,,18,1,sqrt,0.9,Bank,0.18388620638580755
65,1,-0.1851359792215054,0.1851359792215054,23.125327,"{'n_estimators': 1491, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 19, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1491,entropy,,19,1,sqrt,0.9,Bank,0.18388620638580755
66,2,-0.1867565363908803,0.1867565363908803,5.256079,"{'n_estimators': 1379, 'criterion': 'log_loss', 'max_depth': 15, 'min_samples_split': 19, 'min_samples_leaf': 1, 'max_features': 0.33, 'max_samples': 0.9}",1379,log_loss,15.0,19,1,0.33,0.9,Bank,0.18388620638580755
67,1,-0.18531613919538603,0.18531613919538603,20.72788,"{'n_estimators': 1327, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1327,entropy,,16,1,sqrt,0.9,Bank,0.18388620638580755
68,2,-0.18532071164519048,0.18532071164519048,4.707392,"{'n_estimators': 1447, 'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': None}",1447,entropy,,17,1,sqrt,,Bank,0.18388620638580755
69,2,-0.18619815266037998,0.18619815266037998,4.077329,"{'n_estimators': 1358, 'criterion': 'gini', 'max_depth': None, 'min_samples_split': 16, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_samples': 0.9}",1358,gini,,16,1,sqrt,0.9,Bank,0.18388620638580755
